Matrix	Sub Matrix	Sub Matrix	ontology ID	label	prefered label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master parameter	Entity subset	category subset
hydrocarbon material	liquified hydrocarbon gas		ENVO:01000558	liquified hydrocarbon gas	liquified hydrocarbon gas	hydrocarbon material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	liquified hydrocarbon gas	liquified natural gas	ENVO:01000557	liquified natural gas	liquified natural gas	liquified hydrocarbon gas											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	liquified hydrocarbon gas	liquified petroleum gas	ENVO:01000553	liquified petroleum gas	liquified petroleum gas	liquified hydrocarbon gas											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	oil		ENVO:00002985	oil	oil												http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	oil	fuel oil	ENVO:00002983	fuel oil	fuel oil	oil											http://bcodmo/sm#matrix	http://bcodmo/sm#material
hydrocarbon material	oil	petroleum	ENVO:00002984	petroleum	petroleum	oil											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material			ENVO:01000155	organic material	organic material												http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	algal material		ENVO:01001189	algal material	algal material	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	biofilm material		ENVO:01000156	biofilm material	biofilm material	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	detritus		ENVO:01001103	detritus	detritus	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	detritus	marine snow	ENVO:01000158	marine snow	marine snow	detritus											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	kerogen		ENVO:01001231	kerogen	kerogen	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	marine mucilage		ENVO:1000746	marine mucilage	marine mucilage	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	microbial mat material		ENVO:01000157	microbial mat	microbial mat	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	necromass		ENVO:01001395	necromass	necromass	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	planktonic material		ENVO:01000063	plankton	plankton	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	plant matter		ENVO:01001121	plant matter	plant matter	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
organic material	seagrass		BSM:0100001	seagrass	seagrass	organic material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
particulate matter			ENVO:01000060	particulate matter	particulate matter												http://bcodmo/sm#matrix	http://bcodmo/sm#material
particulate matter	cryoconite		ENVO:03000038	cryoconite	cryoconite	particulate matter											http://bcodmo/sm#matrix	http://bcodmo/sm#material
particulate matter	dust		ENVO:00002008	dust	dust	particulate matter											http://bcodmo/sm#matrix	http://bcodmo/sm#material
particulate matter	soot		ENVO:03000021	soot	soot	particulate matter											http://bcodmo/sm#matrix	http://bcodmo/sm#material
permafrost			ENVO:00000134	permafrost	permafrost												http://bcodmo/sm#matrix	http://bcodmo/sm#material
permafrost	ice permafrost		ENVO:01001614	ice permafrost	ice permafrost	permafrost											http://bcodmo/sm#matrix	http://bcodmo/sm#material
permafrost	methane permafrost		ENVO:03000088	methane permafrost	methane permafrost	permafrost											http://bcodmo/sm#matrix	http://bcodmo/sm#material
radioactive material			BSM:0100002	radioactive material	radioactive material			ENVO:03510037									http://bcodmo/sm#matrix	http://bcodmo/sm#material
resin			BSM:0100003	resin	resin			ENVO:03510018									http://bcodmo/sm#matrix	http://bcodmo/sm#material
rock			ENVO:00001995	rock	rock												http://bcodmo/sm#matrix	http://bcodmo/sm#material
rock	sedimentary rock		ENVO:00002016	sedimentary rock	sedimentary rock	rock											http://bcodmo/sm#matrix	http://bcodmo/sm#material
sand			ENVO:01000017	sand	sand												http://bcodmo/sm#matrix	http://bcodmo/sm#material
sediment			ENVO:00002007	sediment	sediment												http://bcodmo/sm#matrix	http://bcodmo/sm#material
sediment	lake sediment		ENVO:00000546	lake sediment	lake sediment	sediment											http://bcodmo/sm#matrix	http://bcodmo/sm#material
sediment	marine sediment		ENVO:03000033	marine sediment	marine sediment	sediment											http://bcodmo/sm#matrix	http://bcodmo/sm#material
snow			ENVO:01000406	snow	snow												http://bcodmo/sm#matrix	http://bcodmo/sm#material
snow	firn		ENVO:03000002	firn	firn	snow											http://bcodmo/sm#matrix	http://bcodmo/sm#material
snow	neve		ENVO:03000000	neve	neve	snow											http://bcodmo/sm#matrix	http://bcodmo/sm#material
snow	powdery snow		ENVO:03000027	powdery snow	powdery snow	snow											http://bcodmo/sm#matrix	http://bcodmo/sm#material
snow	slab snow		ENVO:03000108	slab snow	slab snow	snow											http://bcodmo/sm#matrix	http://bcodmo/sm#material
soil			ENVO:00001998	soil	soil												http://bcodmo/sm#matrix	http://bcodmo/sm#material
water			ENVO:00002006	water	water												http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	ballast water		ENVO:01000872	ballast water	ballast water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	brackish water		ENVO:00002019	brackish water	brackish water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	brackish water	estuarine water	ENVO:01000301	estuarine water	estuarine water	brackish water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	contaminated water		ENVO:00002186	contaminated water	contaminated water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	eutrophic water		ENVO:00002224	eutrophic water	eutrophic water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	fissure water		ENVO:01000940	fissure water	fissure water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	fresh water		ENVO:00002011	fresh water	fresh water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	fresh water	drinking water	ENVO:00003064	drinking water	drinking water	fresh water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	fresh water	rainwater	ENVO:01000600	rainwater	rainwater	fresh water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	groundwater		ENVO:01001004	groundwater	groundwater	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	hypersaline water		ENVO:00002012	hypersaline water	hypersaline water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	hypersaline water	brine	ENVO:00003044	brine	brine	hypersaline water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
